日期,臺南市,區別,里別,"調查種類","調查戶數","陽性戶數",調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2021/9/10,臺南市,北　區,福德里,住宅,80,1,0,8,8,0,1,1,1,1,13,4,120.2036668,23.0134491
2021/9/10,臺南市,北　區,賢北里,住宅,80,1,0,5,5,0,1,1,1,1,20,5,120.1813004,23.006719
2021/9/6,臺南市,北　區,雙安里,學校,80,0,7,12,19,0,0,0,0,0,0,0,120.2029153,22.9996276
2021/9/8,臺南市,中西區,大涼里,住宅,80,1,0,13,13,0,1,1,1,1,8,3,120.1892373,22.9923029
2021/9/6,臺南市,中西區,小西門里,住宅,80,0,0,13,13,0,0,0,0,0,0,0,120.1985537,22.9872907
2021/9/9,臺南市,中西區,五條港里,住宅,80,1,0,4,4,0,1,1,1,1,25,6,120.1989728,22.997263
2021/9/10,臺南市,中西區,五條港里,住宅,80,1,10,11,21,0,1,1,1,1,5,2,120.1989728,22.997263
2021/9/9,臺南市,中西區,永華里,住宅,80,1,0,10,10,0,1,1,1,1,10,4,120.2043882,22.9911465
2021/9/9,臺南市,中西區,光賢里,住宅,80,0,0,8,8,0,0,0,0,0,0,0,120.1885158,23.0038665
2021/9/7,臺南市,中西區,西和里,住宅,80,1,3,8,11,1,0,1,1,1,9,3,120.144496,23.193709
2021/9/10,臺南市,中西區,西和里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.144496,23.193709
2021/9/6,臺南市,中西區,西湖里,住宅,80,1,0,8,8,0,1,1,1,1,13,4,120.1834651,23.0015666
2021/9/10,臺南市,中西區,西賢里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,120.1719199,23.0039814
2021/9/6,臺南市,中西區,兌悅里,住宅,80,0,0,14,14,0,0,0,0,0,0,0,120.1943685,23.0007006
2021/9/9,臺南市,中西區,赤嵌里,住宅,80,3,0,18,18,0,3,3,4,1,17,5,120.2072739,22.9972549
2021/9/10,臺南市,中西區,赤嵌里,住宅,80,0,0,16,16,0,0,0,0,0,0,0,120.2072739,22.9972549
2021/9/9,臺南市,中西區,府前里,住宅,80,0,0,12,12,0,0,0,0,0,0,0,120.1892373,22.9923029
2021/9/6,臺南市,中西區,法華里,住宅,80,1,0,8,8,0,1,1,1,1,13,4,120.2097988,22.9822947
2021/9/7,臺南市,中西區,南門里,住宅,80,1,0,17,17,0,1,1,1,1,6,3,120.2047307,22.9839914
2021/9/10,臺南市,中西區,南門里,住宅,80,1,0,9,9,0,6,6,8,2,67,9,120.2047307,22.9839914
2021/9/10,臺南市,中西區,南美里,住宅,80,0,0,3,3,0,0,0,0,0,0,0,120.2006558,22.9901453
2021/9/10,臺南市,中西區,南廠里,住宅,80,2,0,9,9,0,2,2,3,1,22,6,120.1957156,22.9906648
2021/9/9,臺南市,中西區,城隍里,住宅,80,0,0,0,0,0,0,0,0,0,0,0,120.2056604,22.9922649
2021/9/11,臺南市,中西區,城隍里,住宅,80,0,0,3,3,0,0,0,0,0,0,0,120.2056604,22.9922649
2021/9/6,臺南市,中西區,郡王里,住宅,80,0,0,6,6,0,0,0,0,0,0,0,120.2072739,22.986515
2021/9/10,臺南市,中西區,郡王里,住宅,80,0,20,8,28,0,0,0,0,0,0,0,120.2072739,22.986515
2021/9/11,臺南市,中西區,淺草里,住宅,80,2,0,7,7,0,2,2,3,1,29,7,120.1977997,22.9939289
2021/9/6,臺南市,中西區,開山里,住宅,80,1,1,15,16,0,2,2,3,1,13,4,120.2097988,22.9876646
2021/9/8,臺南市,中西區,藥王里,住宅,80,1,0,9,9,0,1,1,1,1,11,4,120.1914018,22.9992346
2021/9/9,臺南市,安南區,大安里,住宅,80,0,2,3,5,0,0,0,0,0,0,0,120.1950093,23.0313733
2021/9/11,臺南市,安南區,大安里,住宅,120,0,0,5,5,0,0,0,0,0,0,0,120.1950093,23.0313733
2021/9/6,臺南市,安南區,公塭里,住宅,80,1,2,26,28,0,1,1,1,1,4,2,120.1632603,23.0702508
2021/9/7,臺南市,安南區,公親里,住宅,80,0,0,6,6,0,0,0,0,0,0,0,120.1978952,23.0764154
2021/9/6,臺南市,安南區,安西里,住宅,83,0,0,5,5,0,0,0,0,0,0,0,120.2094381,23.0310345
2021/9/9,臺南市,安南區,安東里,住宅,80,0,0,1,1,0,0,0,0,0,0,0,120.2180947,23.0372738
2021/9/10,臺南市,安南區,安順里,住宅,80,1,0,10,10,0,1,1,1,1,10,4,120.2209801,23.0500919
2021/9/10,臺南市,安南區,安慶里,住宅,80,0,1,1,2,0,0,0,0,0,0,0,120.2094381,23.0390892
2021/9/10,臺南市,安南區,州北里,住宅,80,1,2,5,7,0,1,1,1,1,14,4,120.2152092,23.0674114
2021/9/9,臺南市,安南區,州南里,住宅,80,1,0,15,15,0,1,1,1,1,7,3,120.2195374,23.059791
2021/9/10,臺南市,安南區,佃西里,住宅,90,0,0,13,13,0,0,0,0,0,0,0,120.1690334,23.0717267
2021/9/9,臺南市,安南區,佃東里,住宅,90,0,0,7,7,0,0,0,0,0,0,0,120.1849082,23.0724268
2021/9/11,臺南市,安南區,幸福里,住宅,120,0,0,5,5,0,0,0,0,0,0,0,120.1899588,23.0210189
2021/9/10,臺南市,安南區,長安里,住宅,80,1,1,9,10,0,3,3,4,1,30,7,120.1964522,23.0646352
2021/9/9,臺南市,安南區,南興里,住宅,80,0,0,4,4,0,0,0,0,0,0,0,120.1502699,23.0743149
2021/9/9,臺南市,安南區,南興里,住宅,80,0,0,7,7,0,0,0,0,0,0,0,120.1502699,23.0743149
2021/9/6,臺南市,安南區,城中里,住宅,80,0,0,10,10,0,0,0,0,0,0,0,120.1307819,23.058919
